A01	A02	A03	A04	A05	A06	A07	B01	B02	B03	B04	B05	B06	B07	C01	C02	C03	C04	C05	C06	D01	D02	D03	D04	D05	D06	E01	E02	E03	E04	E05	E06	F01	F02	F03	F04	F05	F06	G01	G02	G03	G04	G05	G06	H01	H02	H03	H04	H05	H06
45b9a3214b483638837d3be471274c6a	0	0	0	0	183	145	0	0	0	0	0	0	1046	16	0	0	0	0	0	76	0	0	0	0	0	160	0	0	0	0	0	23	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	7
2c1a13cdcc7eede7436a1d295ca259f2	145	0	345	0	0	0	0	0	0	103	0	0	0	0	54	218	356	0	0	0	0	0	57	0	0	0	67	95	0	0	0	0	33	0	0	0	0	0	42	217	0	0	0	0	0	70	0	0	0	0
b8c5cfc9c47d5c2338f4b5ab3eb3b164	22	0	0	0	0	0	0	88	0	0	0	0	0	0	550	0	0	0	0	0	70	0	0	0	0	0	74	0	0	0	0	0	851	0	0	0	3	0	0	0	0	0	0	0	99	0	0	0	0	0
ebb17216046e34dcf3a90b433663a1de	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	1569	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e33e38e9337c2c91f7b401ed58996328	18	0	0	545	0	0	0	17	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	31	0	0	45	0	250	143	0	0	0	0	83	22	0	0	72	0	396	0	0	0	45	0	42	0	0	0
4824d0514c2e12c6d16419f1682d53d7	0	0	0	319	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	398	0	0	3	0	0	0	0	0	0	0	616	0	0	0	0	0	52	0	0	0
c5c085773c88e5045f93338107a7b41b	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	802
c16e1bb62f8cbc38c4b86edb949dd50a	0	0	0	0	0	0	7	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	90	0	0	0	0	0	666	0	0	0	0	0	839
e109c5f391c6c0910f42bb123c4502eb	0	0	0	0	20	0	555	0	0	0	0	0	0	332	0	0	0	0	0	40	0	0	0	0	0	18	0	0	0	0	0	86	0	0	0	0	0	56	0	0	0	0	0	315	0	0	0	0	0	251
e402bbde88441489472a266f2243846f	0	0	0	22	0	0	0	0	0	0	501	0	0	0	0	0	0	0	0	0	0	0	0	937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0
24e6e32701c57bf61c3c042fd560f4c0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	68	0	0	0	0	0	1319	31	0	0	0	0	13	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0
c323c7ce42ae8302f24cdb1bf32d033d	0	0	0	0	105	114	263	0	0	0	0	0	257	349	0	0	0	0	0	52	0	0	0	0	0	76	0	0	0	0	0	90	0	0	0	0	0	103	0	0	0	0	0	113	0	0	0	0	0	111
6813d17c6cd6a27902a0bb6ca9ccc44b	0	0	19	0	0	0	0	0	0	690	0	0	0	0	0	0	24	0	0	0	0	0	656	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	9	0	0	0	0	0	215	0	0	0	0
c2fb3f62a0dd68003a804131c4761dfb	0	0	0	243	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	257	0	0	0	0	0	228	14	0	0	0	0	238	0	0	0	0	0	489	0	0	0
690a9dbe8b0c8c5c577b40d34344faad	0	0	157	0	0	0	0	0	0	29	0	0	0	0	0	322	314	0	0	0	0	90	128	0	0	0	0	131	0	0	0	0	0	16	0	0	0	0	0	301	0	4	0	0	0	111	0	9	0	0
276c5d4628d23d8c49bf216839bd49e5	0	0	0	0	0	0	129	0	0	0	0	0	4	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	0	0	0	0	0	231	0	0	0	0	0	445	0	0	0	0	0	366
9ca04ce4c1b6cd228c60d0e1dd2f1a2a	0	0	0	0	0	0	0	274	0	0	0	11	0	0	0	0	0	9	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	4	84	0	0	0	0	0	0	0	0	0	0	0	0	969	0	0
926a71915a5ebddf5918566ad3f6ea35	0	0	0	30	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	758	0	0	0	0	16	13	0	0	0	0	554	0	0	0	0	0	44	0	0	0
52901780e68e77bc29e4d86e5835212f	0	0	227	0	0	0	0	0	0	11	0	0	0	0	0	342	193	0	0	0	0	5	16	0	0	0	0	337	0	0	0	0	0	15	0	0	0	0	0	295	0	0	0	0	0	37	0	0	0	0
131f4ee912c17e35972472307018e1d8	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	173	317	0	0	0	0	11	40	0	0	0	0	478	0	0	0	0	0	21	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0
705c3c06e66da98fa45121f285dae86a	0	0	0	299	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	11	253	0	0	0	0	27	0	0	0	0	0	578	0	0	0	0	0	140	0	0	0
7b5e10f2992c65da97b15e38083c2755	0	0	0	0	0	0	0	0	0	0	0	0	1413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
c9f25d92043eb46a89a030cda7b9a31d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	1094	0	0	0	0	0	4	0	0	0	0	0	186	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
fc46f9150298689193623aa42c13b880	0	833	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	10	0	0	55	13	0	78	0	0	0	0	0
40ee978b57fc142df68dd4fccb6d87dd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	19	0	0	0	0	0	506	0	0	0	0	0	12	0	52	0	0	96	548	0	0	0	0	3	36	0
466e722ddcc361817b504979501128c0	0	0	9	0	0	0	0	0	0	53	0	50	0	0	0	0	107	0	0	0	0	12	507	0	0	0	0	360	0	0	0	0	0	152	0	0	0	0	0	31	0	0	0	0	0	108	0	0	0	0
6f2e7b6ff29bd21922415df59fc87406	0	0	0	0	0	0	583	0	0	0	0	0	0	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
